date,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds
2001-09-01,-0.23182696021629967,-0.16762388139441708,-0.05825779615782269,-0.03356704101259529,-0.04334303600622047,-0.16297183078276653,-0.2804657179818887,-0.1739297686431829,0.2554744525547447,1.7993204502017417,1.4827205328602744,0.3792171336486975
2001-10-01,0.11920196034132183,0.04595325170933387,-0.03688382396114114,0.07342391763017964,-0.038176611572820526,-0.09652971679297981,-0.19870145294746425,-0.17993747089735918,-0.13503905701856958,-0.1790162230067796,-0.2223278434840277,-0.3014288954411432
2001-11-01,-0.004588884701500708,-0.08989215321680905,-0.061190325849131394,-0.09170990140911296,-0.09846438095902123,-0.04568942072341562,-0.004400052800633689,0.07609830815289284,0.01491992406172403,-0.08242522365444115,-0.20774465637879813,0.009582863585118222
2001-12-01,0.038630513890121655,-0.08734052993130517,-0.023393739703459693,-0.04555775641335334,-0.04052211536713511,-0.009693742760176476,0.12424948472085315,0.12742382271468128,0.30432598100788827,0.20570721876145087,0.3376286105108739,0.6210313509870887
2002-01-01,0.05657373538274929,0.016263835554551413,0.006057126453279678,-0.005211474522539305,-0.044040823386957334,-0.11802382347197812,-0.13731172880165096,-0.2022958830851504,-0.3653985150141272,-0.44709786215525216,-0.5664345662772908,-0.10506636980748527
2002-02-01,0.072835539706303,0.016967043277688578,0.007605719501064638,-0.031200738479017408,-0.02370730178627403,-0.027153191034458176,0.03433632381353172,-0.005769945430007384,0.0517139899738182,-0.11040009141681772,0.14893776837466657,0.044188056145923076
2002-03-01,-0.024448246860589672,-0.04652928004857861,0.015495296070835779,0.057905258829701045,0.005643919958953184,-0.04259628208716858,-0.03793553195453731,0.029178351930305952,0.17512147716229365,-0.27028841706330825,-0.14466734563368952,-0.03799570228560269
2002-04-01,0.20037756202804768,0.05255381537971991,0.14368336950559302,0.2947201130143034,0.5886706518645032,0.6271971658264068,1.6406648199445981,1.8152136329958022,2.4875787184559854,2.3544041802388698,1.4863807661117205,
2002-07-01,-0.2891266888095298,-0.00919102900560388,0.035903758499588954,0.09650531568957965,0.06887841251401458,-0.03313098495212027,-0.04238734375720675,-0.2564586528252919,-0.20712012259813742,-0.23876182965299683,0.6223688216786767,
2002-08-01,0.02012633361956408,0.23126491646778027,0.22502645062352192,0.25711091632048977,0.08980047291373305,0.07704731278930607,0.06051500759264622,0.012003079507278755,-0.0007794824996674024,0.4413754514471744,0.3205696202531643,-0.3569583156595843
2002-09-01,0.16523754345307062,0.1887271270201682,0.22564978000048092,0.10372898182043812,0.09095258981618067,0.11396056598058606,0.0773609314359637,0.07754025388800359,-0.08453025665175418,-0.25759184540242075,-0.3306277509079043,
2002-10-01,-0.2037677482143167,-0.0021996077807811282,-0.027676212335530557,-0.01651334852448883,-0.013119805770847011,-0.02991623454327906,-0.033433627617878665,-0.07742965475952916,-0.09899901772767668,-0.2123935974355088,-0.05064662319000756,-0.5105466092084374
2002-11-01,-0.05092110221906926,-0.0496392711044997,0.01052878896900102,0.042085299142619804,0.09020236704955452,0.041493453514122654,0.00382804593655111,0.09211167583373936,0.14311444287591857,-0.10772775390746642,0.02936835042653108,-0.3276211950394589
2003-01-01,-0.06934783844739684,0.0060142308561100585,-0.001205683938567642,-0.00010825021263436865,-0.02387130254281275,-0.04327279828158565,0.03223115092434035,0.06090083444746677,-0.008344832117747537,0.16045621860777165,0.16648317867917264,0.2981135728373848
2003-02-01,-0.06683039243721506,0.06492304885518056,0.03589899604502569,-0.012909181282397502,-0.06551237856471342,-0.051740726223140805,-0.0730914168754902,-0.18602695249085605,-0.1639503967851273,-0.36853833078604176,-0.3002416154433581,-0.6453978559917791
2003-03-01,0.07444679678663636,0.09028805647273154,0.045102379634753935,0.004905783436600365,-0.03059844209151565,-0.06867765465233071,-0.10106204583566265,-0.18435865306203636,-0.3294460641399416,-0.3044269706509897,-0.18400795812510368,0.05191443641336208
2003-04-01,0.011866235167206052,-0.03122087604846187,-0.02109518471702152,0.008387780328447838,-0.03700540848277834,-0.029658899940954758,-0.09950138504155122,-0.1916028649049147,-0.2287177008925201,-0.4031283930510316,-0.429160902542575,-0.35948344094980217
2003-05-01,-0.04805401602211996,0.06594215203486743,0.025733179988499603,-0.03854628405526605,-0.08018600430985594,-0.07921755106451957,-0.04221653649340155,-0.009593045042344244,0.18198661473891178,0.27970812466656325,0.016492357200322043,-0.06256518185149383
2003-06-01,0.1812805348418615,0.3312749080074865,0.19334186939820738,-0.0014625845556697382,0.12235793619050545,0.04063658094428314,-0.05292519471110312,-0.22723472250608487,-0.3216163852753943,-0.5065642542403573,-0.6420094068158968,
2003-07-01,0.13514222211123014,0.09501598688960461,0.024396622580886117,-0.02111675935388826,0.07001310297315896,-0.0070964432284541315,-0.03528435035284355,-0.07207738586764179,-0.1261346221855475,-0.2355086750788643,-0.4332792043032579,-0.5867787900023359
2003-08-01,0.59436792020044,0.39403341288782806,0.2707949452561257,0.17969434810777837,0.1844894922819415,0.1271720478174976,0.11204807599108245,0.1005389137737961,0.015950873590752767,0.11012767689099164,-0.3803797468354432,-0.47685702901065563
2003-09-01,0.061104673619158,0.058902096968077855,0.039263302156716536,-0.0031891791276291415,0.014075521352525794,-0.02035164644963995,0.0071151358344114625,0.0661097983184041,-0.015775841770661683,-0.1696750902527075,-0.3721988854116113,0.11465751763095401
2003-10-01,-0.14780765019725056,0.009990989558488508,0.03554938749366157,0.01422060933412081,0.0205279048775174,-0.00877542879936206,0.007541866265489577,-0.006541164992572023,0.11293792974414141,0.3131755073750784,0.19301425887034415,-0.4202767067362215
2003-11-01,-0.29331175596887527,-0.07123837857939738,-0.07669716148548436,-0.03929528675998048,-0.10613376095936984,-0.05039045805975352,-0.10652527830333965,-0.15929819675555248,-0.1916467896607118,-0.2991676526143181,-0.4730374772356944,-0.15310033821871485
2003-12-01,-0.08251974793645153,0.01537455021262681,-0.042833607907743106,-0.039534921171715136,-0.04292180995146083,-0.07183937244700955,-0.005376825880455381,0.19584973514117696,0.23026679395066074,0.0787376328325393,-0.1438653529726621,0.23219947008101924
2004-01-01,0.07075033640998421,-0.002371809351705521,0.03952920912874956,0.014861207763086668,0.060992907801418465,0.0804530365163055,0.1046853730294648,0.27997787100640825,0.4445977615699673,0.4963462619449129,0.5913412733589744,0.9195818157617704
2004-02-01,-0.03317128967686578,0.024759894184031093,0.06267112868877393,0.05797060285450516,-0.05397994359135083,-0.017318176958985125,0.010004399640377214,-0.051773035773661574,-0.03091067768058298,0.17413475410304388,-0.6631905757458155,-0.331503841931943
2004-03-01,0.02755140512166137,0.0860374207749821,-0.058107360265633526,-0.009386209927831297,-0.04267922944167188,0.023693873182618945,0.12807900130426636,0.17007776915885978,0.45150631681243936,0.36521388818430073,0.08434191516070187,-0.369090642703653
2004-04-01,-0.12971952535059328,-0.047689405132634345,0.01671873882038691,0.004414621225498836,0.0392826643894106,0.032656583549075725,-0.08155124653739615,-0.01215114843171138,0.5308304513946569,0.25454668838219313,0.890831464962076,0.8266194542803581
2004-05-01,-0.14556922962981245,-0.013528046640629265,0.07868506804677024,0.03870181714493086,0.022456617897243878,0.02669404517453803,0.0227578777269055,0.007269729446151739,-0.12126139070594033,-0.01388817182095104,0.0988912912308932,0.04465720218353325
2004-06-01,-0.10259706865518108,0.002024471918410016,-0.061459667093469963,-0.048223100397991936,-0.01618312155801001,-0.026727415654629175,-0.02573809092555681,-0.04331023206555053,0.022308331026847754,0.08349429588941862,-0.3247893867079609,
2004-07-01,-0.06466798191943673,0.03653491330407201,0.07513263094971269,0.07922434731826439,0.005619419416714919,0.041082421340629324,0.04769152714358193,0.05603397428335508,-0.003418601909701694,0.3506506309148267,0.6805541459453974,
2004-08-01,-0.07872913554397565,0.1298329355608591,0.17298113386987532,0.13972839412071084,0.10675097638088143,0.0903716094423696,0.10316306419824865,0.21948488241881295,0.30664081066179966,0.16682774640961742,0.2455696202531643,-0.5368063856861914
2004-09-01,0.1383545770567787,0.1291572058234272,0.08196484816426627,0.16239995036297086,0.12412775629012303,0.01911122008913776,0.06998706338939202,0.03401659614222123,-0.10007063809748054,-0.25291994053939265,-0.40222248255317733,-0.279894647467554
2004-10-01,0.1571748839957596,0.09776329040122976,0.13222930956257187,0.14589135510732248,0.010147228188128283,-0.019545273234942307,0.01892394789975851,0.07352712920463857,0.12262032835960532,0.1662154259351512,-0.512678235879297,0.10455885688364694
2005-01-01,0.06658074787256224,-0.019454483849107872,0.07679058418257484,0.042078404082579464,0.1237848123162083,0.15907049404413204,0.09695692267158484,0.09082107786639614,-0.01894561622533247,0.10700103356361858,-0.28269541470668125,-0.7347627748266641
2005-03-01,-0.2905078158986107,,,,,-0.029917837090214647,-0.12114775479783887,-0.14847743501004446,-0.34888241010689985,-0.24960833171692434,-0.2269960446223444,-0.5478853291658526
2005-11-01,0.05783768205901278,-0.01004090740052052,0.020866679393236335,0.018636655746955423,0.06681075804849128,0.04747659194218911,0.04690456285475433,0.19673234468193737,0.40342209024972,0.23266288893040213,0.13524393750599042,-0.2007891770011275
2005-12-01,-0.04477678175201923,-0.03238469087340522,-0.02240527182866559,0.06285327793613216,0.08506190121257295,0.0734651573963053,0.07693341697284702,0.05204840355736973,0.06556800482339346,0.06311835837303026,0.4444818904506077,-0.2984852893878365
2006-01-01,0.10535792127058717,0.06440591822904888,0.07615903545284891,0.10876053506533666,0.09372080954852098,0.08260105448154662,0.09260966934527742,0.07357890369277584,0.16608625183432973,-0.07530508259442593,-0.06441143249310109,-0.5660854518834021
2006-02-01,0.08792410301266633,-0.057364765367423874,0.06875570428962564,0.07952850955052172,0.04008147916013776,0.01218686526743403,0.05775006216883145,-0.09589844896043181,0.005033386779241235,-0.3119741747489608,-0.17855756832208722,-0.24224023168367728
2006-03-01,0.14782053884748148,0.0039470188621959805,-0.025733259546208937,0.0013327850954924494,0.0758430896963476,0.09795333673620597,0.02027203279299384,0.13682200608628203,0.35160349854227413,0.6580176362632613,0.9256057412188246,0.9894754834928698
2006-04-01,0.026159654800431614,0.03513058895733443,0.061544515728970545,0.06877979869327219,0.06575576430401361,0.01326247899350491,-0.028033240997229928,-0.10066683131637419,-0.020357310056329996,0.011095276872963956,-0.1847302389925106,-0.7092105811289315
2006-05-01,-0.18334094528038705,-0.08326257995132148,0.03795284646348484,-0.002255229800139904,-0.14483384371101285,-0.20025937533772836,-0.27854834365742,-0.15348872067750874,-0.27742277006843885,-0.1649887276920165,,
2006-06-01,0.22550784263306783,0.14911063293395635,0.15595390524967942,0.08751599701857755,0.031750915300126074,-0.03800555083182261,-0.06497011410976268,-0.10403002545474796,-0.10109788725897209,-0.24422043822055897,-0.43358025262038746,-0.363882056100419
2006-07-01,0.21354543865344733,0.24013568800925986,0.23518643054621527,0.17705692632361325,0.16504342892650167,0.16377393980848148,0.18038835847055024,0.13495340332664865,-0.12259813745137334,-0.3183162460567822,-0.5743732873236578,
2006-08-01,-0.28782656770141046,-0.12267303102625303,-0.023692625922799464,-0.005881829846157891,-0.03002205159541972,-0.04731278930595397,0.005783334948789844,0.07975223964165731,0.07492537880948298,0.4648761381555523,0.14905063291139212,0.4359567603696706
2006-09-01,-0.10637311703360376,0.002003472685988886,-0.08826428794691157,-0.13125271452503567,-0.10809840902747325,-0.1726644646694839,-0.10815006468305302,-0.10095070616035609,-0.07511184365434423,-0.24909747292418766,-0.4237778856291735,0.3403337318708736
2006-10-01,0.0736344519559968,0.039553188106217343,0.014064960367236968,-0.07377556474526696,-0.047125470787811,-0.007977662544874534,-0.016588146799160618,-0.05703008935896594,-0.10330230600121625,0.07106500032489312,0.01306510445451561,0.004762984803810165
2006-11-01,0.24950675031590158,0.08159166976571237,0.08547849454470689,0.0400163011959436,0.03498283104704449,0.06414390613465974,0.04593655123861482,0.029659541878437667,-0.058414058316701704,-0.1292110343109784,-0.17151346688392596,-0.1733934611048479
2006-12-01,0.174691577172273,0.03238469087340536,0.02998352553542016,0.011482036169219098,-0.04612140273056167,-0.057085374032149916,-0.07635092750246436,-0.08747630849978139,-0.11736924081796711,-0.09257053865884951,-0.0862954225561523,-0.3200496224710154
2007-01-01,0.06491291245759341,-0.07194488366839859,-0.040361705181570395,0.012139488131137388,-0.06839647119875462,-0.10427650849443466,-0.1150924340227461,-0.17998248121340646,-0.09266925115535415,-0.09564996645451412,-0.3460488125705951,-0.47993175465556676
2007-02-01,0.015963262628471662,0.0034794167090191216,-0.008214177061150161,-0.053411915074913184,-0.04713256032591675,-0.030021736806471192,0.04765001817242757,-0.13720734641187618,-0.24190700412007066,-0.22524246882543678,-0.6601860313724508,-0.7309830207627812
2007-03-01,0.09390678924625165,-0.0794717067061368,-0.11344770337576074,-0.1067504147230219,-0.08283968468678585,-0.11975367592577348,-0.1953419042295512,-0.28675139725918425,-0.31273080660835756,-0.3234657793825814,-0.2134482840292746,-0.04602949794881796
2007-04-01,0.1507551240560951,0.10530084331598254,-0.02134560805170632,-0.17358290658661482,-0.0984913179618561,-0.09610755325430355,-0.1370637119113573,-0.27977278340330936,-0.41487835450111005,-0.6088151465798046,-0.7983113104040452,-0.8200374921891272
2007-05-01,-0.14779109525631692,-0.1477896643459557,-0.1451025493578684,-0.10957306166887001,-0.0575025518883975,-0.0035664108937642374,-0.016294101804470777,0.052611856404107225,-0.07966877150527474,-0.25344622850947396,0.16361625100563174,0.3262428006351411
2007-06-01,-0.22113653895602972,-0.09256547702415366,-0.04404609475032014,-0.03833659133418659,-0.006830138756422456,-0.02398408547639296,-0.009907625430175752,0.02941231117965131,0.15167450871851668,0.16520794350214274,-0.451885407879075,-0.1005352448718896
2007-07-01,-0.312464101091327,-0.23204483205170798,-0.1707016364043936,-0.15351127510186752,-0.11465776925259019,-0.1618074555403556,-0.09565979428993127,-0.0703078919429043,-0.08440410232229162,0.1613761829652998,0.4789302750431342,0.8385891146928286
2007-08-01,-0.08959806147295128,-0.10668257756563257,-0.007477502110105581,-0.02097386841470085,0.07986397088126665,0.12241337044140359,0.043811185422118565,-0.04188829787234055,-0.15009791060666552,-0.1968733574105159,-0.35601265822784817,-0.23027288268486745
2007-09-01,-0.2330629586713016,-0.23173500734606653,-0.14971989132264193,-0.10861822919898227,0.014075521352525794,0.10980658002913592,0.14450194049159115,0.019069077320437507,0.15281375088297622,0.10554257804204732,0.3849346476327547,-0.35728024120185076
2007-10-01,0.1995446724943955,0.018829172629458962,0.12240785716192065,0.07148282555489895,0.07529492327325914,0.023534104507379222,0.17189912506433344,0.12197609703097627,-0.01669862949623459,-0.23979293465312232,0.039814303083895386,0.3585847130868676
2007-11-01,0.21536722161874586,0.04395686128672383,0.1316759423780085,0.00967099797802479,-0.027139146955779195,0.03850188430008961,-0.026664319971839656,-0.0632179906704728,-0.2218760648396049,-0.31730908939950614,-0.28946611712834286,-0.2609921082299888
2007-12-01,0.25576906008697964,0.13248282630029448,0.10345963756177926,0.05789329597243028,0.02906902757830817,0.008636982543133996,-0.008826955820413998,-0.03134567721242173,-0.1372657388333417,-0.1560553316233053,-0.07277521162500242,0.06911920113947882
2008-01-01,0.04448192862422518,-0.01541676078608554,-0.054255777235539114,-0.03957318487589892,-0.0668742432105173,-0.07678187853934774,-0.10688095551749871,-0.1809967267530312,-0.08447773616312958,-0.17184355110700097,-0.17130152557155304,-0.30278426485001764
2008-02-01,0.22101296909956447,0.019364843556563177,-0.027989047763918622,0.0004828516651280019,0.022782826700093874,-0.016908384705840458,-0.008818409625647962,-0.1653725037651338,-0.2209007326825111,-0.28180662486251756,-0.22873345935727787,-0.02815470490692973
2008-03-01,-0.04486528812969442,-0.1108201449770389,-0.09850581073602642,-0.12461540642856148,-0.06553477307710258,0.051948693461544675,0.2531022917831186,0.4881953974978616,0.6862973760932947,1.2324644514405938,0.8430165083726106,0.40164094549716745
2008-04-01,-0.2397518878101402,-0.3021162457663717,-0.11350139521572167,-0.03319795161575136,-0.049245658980928114,-0.060816641685969924,-0.12609418282548476,-0.22341318844159044,-0.35652475950284673,0.40418023887079263,0.7076754281352859,0.13031451780878986
2008-05-01,-0.18087220569538223,-0.022810890360559163,-0.0811290013417672,-0.047619047619047616,-0.048996257230350476,-0.01560883728829256,0.14664691624023699,-0.13137974968148078,-0.2566264604681061,-0.27306520728999956,-0.6302795655671761,
2008-06-01,-0.030341990228850466,0.07677714256611375,0.1190781049935979,0.07495745847806803,0.0466572316401564,0.1214124139701281,0.09505524361528708,0.13637799371992354,-0.0022326782913551354,-0.1630802197138891,,
2008-07-01,-0.03398846240291701,-0.02700008022095126,-0.0951206754838228,-0.0651553561711108,-0.0465763417039269,-0.041809165526675775,-0.04109589041095888,-0.03987259643741876,-0.05929506070965451,-0.23491719242902198,-0.34909164721404645,-0.1576734407848635
2008-08-01,-0.14885958618093703,-0.1632458233890216,-0.11522961518800715,-0.10929024226024889,-0.01190254788915765,-0.02605736369273359,-0.0844883848664019,-0.04612262038073908,-0.06435483564326316,-0.20134967868830217,-0.1465189873417723,0.27364104937081435
2008-09-01,-0.12120509849362694,-0.07840256444503814,0.0031978072179076563,0.025103927529937464,-0.030264364607839378,-0.10689302043818766,-0.06817593790426915,-0.07105566851678845,-0.1226748292912644,-0.1692503716287959,-0.42839690057402985,0.0914037185285299
2008-10-01,0.007681479293025853,-0.05492394127312214,0.00976807494195213,-0.027836385630292462,-0.017057303825442717,-0.1352213801356204,-0.10354725048497561,-0.14933812279651446,-0.2071191356003555,-0.05248110203816433,-0.3692052614126229,-0.36493535949194844
2008-11-01,0.15245294730541592,-0.03556712532539961,0.012144084347787753,-0.05101960845781282,-0.07162155095780115,-0.05252729321263432,0.030932371188454155,0.12200329550465308,0.312174463320839,0.08323473856819627,0.21374484807821328,-0.19605411499436318
2008-12-01,0.030709150616845763,-0.02126267582597316,-0.031630971993410244,-0.01438072692722677,-0.012925627647390369,-0.0007519255390493929,-0.10198046419930101,-0.13665743305632513,-0.04109933175903121,0.08377610846463887,0.05544872430267836,-0.36250440322852384
2009-01-01,0.28506718723347785,0.10354077253218867,0.053739055547581314,-0.00010825021263436865,-0.028057429510465283,-0.027807068931849258,0.004215518377025624,0.07915725416071191,0.03454015813566354,0.05234909064534263,0.20791810240059497,-0.13943104679162183
2009-02-01,-0.10281081262931248,-0.09962599528258866,0.04015819896562205,0.04033231555776447,0.06891256659354424,0.042101699746997845,-0.008818409625647962,-0.06350851800418553,0.04051064520711973,0.22178577040094852,0.281738629677387,0.30216969895135065
2009-03-01,-0.031147588527014776,0.06265892443736015,0.06972883231876058,0.08946674417615423,-0.009375437287187111,-0.010356807666342852,-0.039985094093534845,-0.15722895160809128,-0.3290573372206025,-0.5388012712433415,-0.5154070249401956,-0.5603633522172299
2009-04-01,0.13295577130528607,0.0609074170890828,0.020725512175344327,0.027723821296132798,-0.02419584400797051,0.016123904255802332,-0.09684210526315785,-0.1265991602864905,-0.17670688795928538,-0.29695982627578726,-0.40645422887945426,0.3164257446365338
2009-05-01,-0.07545702541567402,-0.06877228731533347,-0.039438374544757335,-0.018845426031054713,-0.09691505047068166,-0.1175062913958407,-0.09338809587934288,-0.05680881361013256,-0.06000680606496012,0.05735969848727338,-0.278233105390185,0.32302951152368115
2009-06-01,-0.10516842375932102,-0.054100510574364324,-0.03149807938540338,0.015371201147566153,0.00632249330831001,-0.09043363868255982,-0.06978808186922647,-0.08320172423403495,-0.040095949810868045,0.09381601979839431,0.4573399743450478,-0.260475280554881
2009-07-01,-0.2584471692930101,-0.16682519854685463,-0.1395800642606292,-0.10334072176579114,-0.10983533480122669,-0.08849179206566338,-0.07790231077902304,-0.07703196885690677,-0.15478014853235875,-0.22870662460567814,-0.3186136202171927,-0.2861480962391965
2009-08-01,-0.32509145660075517,-0.15966587112171837,-0.10267597094592151,-0.06317567996747858,-0.013656048247828114,-0.07523036324570627,-0.11149882071661676,-0.17661674132138871,-0.22162018289321092,-0.2628990962578632,-0.2734177215189875,-0.6547256391470327
2009-09-01,-0.09092313634607953,0.018832643248296928,-0.00978577096006352,-0.019867220946826147,-0.05546473144862241,-0.05946834749246351,-0.012289780077619689,-0.025333846238390863,-0.0718153991052507,-0.023147165003185387,-0.01730457048181703,-0.34622515638266543
2009-10-01,0.32825289793364737,-0.0707717178141728,-0.11085163735354557,0.0009564801530366378,0.010505182556727865,0.16194654966094918,0.218338018132151,-0.04071043703851536,-0.1947471818139295,-0.3249799649115208,,
2009-11-01,0.09246491830898516,-0.03556712532539961,-0.06894374366730788,-0.01791564131099215,-0.031740774955988364,-0.02517580325575951,-0.010208122497470056,-0.1181972197080462,-0.1496616852455826,-0.12157253461195192,-0.0748969615642673,-0.665163472378805
2009-12-01,-0.15334605485044822,-0.06280667320902837,-0.02998352553542016,-0.04732917854324686,-0.024524151471630885,0.020708435791655606,0.09516981808405765,0.0381493900957378,0.018037481786665418,0.20117259069256122,0.3132050036675061,1.0634371218966807
